Locale,Key,English Value,Type
ar,"REDACTED_TOKEN","Allow other users to find and join this game",missing
ar,"allowPlaytime","Allow Playtime",missing
ar,"ambassadorDashboard","Ambassador Dashboard",missing
ar,"ambassadorOnboarding","Ambassador Onboarding",missing
ar,"ambassadorQuotaDashboard","Ambassador Quota Dashboard",missing
ar,"REDACTED_TOKEN","Ambassador Status: {ambassadorStatus}",missing
ar,"ambassadors","Ambassadors",missing
ar,"analytics","Analytics",missing
ar,"appVersionAndInformation","App version and information",missing
ar,"appVersionLogappversion","App Version: {appVersion}",missing
ar,"apply","Apply",missing
ar,"appointmentAppointmentid","Appointment {appointmentId}",missing
ar,"appointmentApptid","Appointment: {appointmentId}",missing
